"","","","","","",""
"time","ax","ay","az","wx","wy","wz"
"64,926","0","0","0","0","0","0"
"165,124","-26","11","-3","0","1","5"
"265,402","7","1","-16","12","1","-7"
"366,512","0","14","2","36","1","5"
"467,071","2","9","6","0","1","5"
"566,922","-17","1","-5","23","12","5"
"667,757","11","-14","-5","23","12","-7"
"768,872","-5","10","6","23","0","16"
"868,960","10","-6","-2","0","0","-7"
"969,932","0","4","5","11","25","5"
"1,070,217","25","14","-7","23","12","-7"
"1,170,801","-2","-7","1","23","12","16"
"1,271,482","-8","11","10","0","12","16"
"1,371,767","8","-4","4","23","25","16"
"1,472,147","-12","7","-8","0","12","5"
"1,572,614","-3","4","8","11","0","-7"
"1,672,695","-9","9","6","11","12","5"
"1,773,416","-11","7","-3","0","0","-7"
"1,874,159","-16","18","2","0","0","5"
"1,974,110","-2","14","-6","0","12","5"
"2,074,541","-15","-1","0","23","12","16"
"2,174,964","5","2","-10","23","12","5"
"2,275,268","-14","-4","-10","12","12","5"
"2,375,695","4","10","7","12","12","-7"
"2,475,577","-9","0","-4","0","12","5"
"2,576,500","9","-1","-5","0","1","-7"
"2,676,606","0","4","-1","12","12","16"
"2,777,310","17","8","3","23","12","5"
"2,877,761","10","1","2","12","0","-7"
"2,978,662","15","-10","-16","0","12","-7"
"3,078,969","10","-12","4","12","12","16"
"3,179,310","3","0","6","0","0","5"
"3,279,692","-7","9","-3","0","12","-7"
"3,380,085","4","0","-3","0","0","16"
"3,480,442","11","6","-3","0","12","5"
"3,580,163","-6","-3","3","11","-11","5"
"3,680,901","-3","1","10","11","12","-7"
"3,781,441","0","-5","1","-1","12","4"
"3,881,487","26","10","3","-1","0","-7"
"3,982,729","-18","6","-14","23","12","-7"
"4,082,636","11","1","4","11","12","4"
"4,183,447","-4","3","-2","11","0","4"
"4,283,799","-6","12","-4","-1","12","4"
"4,384,014","7","15","11","36","12","16"
"4,484,330","15","3","6","11","12","-7"
"4,585,809","23","-4","-6","-1","0","-7"
"4,685,172","-2","-11","11","11","0","-7"
"4,786,669","-12","-9","3","11","12","4"
"4,886,479","16","-9","-5","23","25","4"
"4,987,309","5","-15","1","11","0","4"
"5,087,718","-19","24","-4","0","12","5"
"5,188,062","-3","0","2","0","12","-7"
"5,288,379","-7","0","-9","11","12","5"
"5,389,040","6","20","-6","0","0","5"
"5,488,852","-2","-17","-10","0","-11","5"
"5,589,756","-9","13","13","23","12","5"
"5,690,216","0","17","-4","0","12","-7"
"5,790,315","1","-6","14","23","12","5"
"5,891,047","22","11","14","11","12","-7"
"5,991,772","-7","3","21","23","0","-7"
"6,092,249","-11","0","-1","23","-12","4"
"6,192,483","18","-8","16","11","0","-7"
"6,292,734","3","15","10","11","12","-7"
"6,393,149","-15","0","-2","-1","0","4"
"6,493,455","-9","10","-11","23","12","4"
"6,608,278","16","-11","-3","11","12","-7"
"6,693,393","-12","-7","3","23","0","5"
"6,794,625","-6","-1","-3","23","12","5"
"6,894,694","22","1","5","0","12","5"
"6,994,926","-8","9","-2","-12","12","-7"
"7,095,283","-14","3","5","11","12","-7"
"7,196,049","-5","21","6","36","12","-7"
"7,296,453","-4","4","3","11","-11","5"
"7,396,774","-17","6","2","11","12","5"
"7,497,711","-17","-10","5","23","12","5"
"7,598,245","1","-2","-19","1","-5","3"
"7,699,488","-6","-6","1","14","-5","3"
"7,799,182","-17","4","-3","-10","-5","3"
"7,900,280","-9","8","7","-10","-5","-10"
"8,000,887","-6","-2","12","14","7","15"
"8,100,771","-19","5","-1","1","19","3"
"8,202,187","-19","10","-8","-22","-5","3"
"8,302,515","9","-5","0","1","-5","15"
"8,402,931","5","-1","4","1","-5","-10"
"8,503,294","3","3","-4","14","7","-10"
"8,602,674","4","-3","-6","14","7","3"
"8,702,920","12","0","9","1","19","-10"
"8,803,337","12","-2","5","14","-5","-10"
"8,903,615","-17","-19","6","1","-5","-10"
"9,003,728","10","-20","-5","14","-5","3"
"9,103,963","-6","4","3","14","-5","3"
"9,204,163","-4","0","-11","1","-5","-10"
"9,304,318","8","2","5","1","7","3"
"9,404,470","-5","2","6","1","-5","-22"
"9,504,566","-5","-10","9","1","7","3"
"9,604,761","-5","-10","0","1","-5","-10"
"9,704,897","11","6","3","1","-5","-10"
"9,805,278","5","-2","8","1","-5","3"
"9,905,486","2","-16","5","-11","-5","3"
"10,005,543","1","-8","-10","14","7","-10"
"10,105,811","23","-5","6","-22","-5","-10"
"10,206,096","6","-8","-1","-10","-5","-10"
"10,306,313","-4","4","-4","1","19","3"
"10,406,641","-10","-7","11","14","-18","-10"
"10,506,866","4","1","-2","1","7","3"
"10,607,295","16","-2","-6","-10","-18","-21"
"10,707,512","-4","-13","9","-10","7","-8"
"10,808,467","-12","-3","14","3","-5","-21"
"10,908,475","0","-4","8","-22","7","-33"
"11,009,296","-13","14","5","14","7","3"
"11,109,840","10","5","-1","3","7","-8"
"11,210,761","-4","18","-2","-10","-5","-21"
"11,310,493","16","-6","-7","3","7","-8"
"11,410,974","-6","-5","-11","15","7","3"
"11,510,478","-2","16","-16","-10","-18","-21"
"11,611,358","11","-4","-11","3","7","-21"
"11,711,489","-8","-5","-15","3","7","-8"
